Front,Back,Procedure,Tags
"**Ch. 207** — 207 investigations","When considering incidents involving public officials, confer with the Intelligence Division prior to classifying the occurrence as a possible bias incident","Ch. 207",note critical_detail
"**Ch. 208** — 208 domestic violence","Stalking convictions (all four degrees) will subject an offender to automatic suspension or revocation of a pistol license by the Criminal or Family Court.","Ch. 208",note critical_detail
"**Ch. 208** — 208 domestic violence","A violation of Administrative Code 10-177 does NOT qualify as a family offense.","Ch. 208",note critical_detail
"**Ch. 209** — 209 conditions and types","If a violator is stopped for multiple offenses and at least one is a non-CJRA violation answerable in Criminal Court, the summonsing officer will document ALL violations on summonses returnable to Criminal Court. Check ""NYPD CODE 4"" on all summonses. If Code 4 and any other code(s) are applicable, select Code 4.","Ch. 209",note critical_detail
"**Ch. 210** — 210 release","Upon completion of transport, the van will be returned to command concerned.","Ch. 210",note critical_detail
"**Ch. 211** — 211 department attorney","Any summons and complaint served at a satellite location (precinct detective squad, Medical Division command, Warrant Division command, etc.) will be accepted and processed per this procedure — as long as there are no police officer safety concerns. If safety concerns exist (narcotics, vice enforcement, undercover officers), refer the server and papers to the overhead command.","Ch. 211",note critical_detail
"**Ch. 211** — 211 department attorney","A summons and complaint WILL NOT be accepted for a member who is no longer assigned to the command on the date of service. The process server will be directed to the member's new command.","Ch. 211",note critical_detail
"**Ch. 211** — 211 department attorney","If commanding officer is unavailable, give papers to executive officer, who will assume responsibility for completing the CO's steps.","Ch. 211",note critical_detail
"**Ch. 211** — 211 department attorney","All sections of the REQUEST FOR LEGAL ASSISTANCE must be completed in full. Failure to complete the form will result in it being returned and will delay a representation determination by Corporation Counsel.","Ch. 211",note critical_detail
"**Ch. 213** — 213 first amendment","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
"**Ch. 213** — 213 mobilization readiness","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
"**Ch. 213** — 213 mobilization readiness","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
"**Ch. 213** — 213 mobilization readiness","Full exam-focused content for this procedure is covered in the Rapid Mobilization section. The summary below highlights the most critical points.","Ch. 213",note critical_detail
"**Ch. 213** — 213 mobilization readiness","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
"**Ch. 213** — 213 mobilization readiness","Full exam-focused content for this procedure is covered in the Duties at a Disorder section. The summary below highlights the most critical points.","Ch. 213",note critical_detail
"**Ch. 213** — 213 mobilization readiness","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
"**Ch. 213** — 213 mobilization readiness","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
"**Ch. 213** — 213 special events","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
"**Ch. 213** — 213 special events","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
"**Ch. 213** — 213 special events","This procedure could not be cleanly extracted from the source PDF. The title and related information below are derived from cross-references in other procedures.","Ch. 213",note critical_detail
"**Ch. 215** — 215 child protection","In an emergency removal situation, the ACS CPS may not have a warrant or Removal Order.","Ch. 215",note critical_detail
"**Ch. 215** — 215 child protection","In an emergency removal situation, the ACS CPS may not have a warrant or Removal Order.","Ch. 215",note critical_detail
"**Ch. 216** — 216 auxiliary transit notifications","If injury results from a reportable use of force incident, comply with P.G. 221-03 and P.G. 221-06.","Ch. 216",note critical_detail
"**Ch. 216** — 216 auxiliary transit notifications","In all other cases, notifications will be made even though other authorities (hospital, etc.) indicate they have already made the notification.","Ch. 216",note critical_detail
"**Ch. 303** — 303 borough command","Borough commanders of bureaus performing enforcement functions (e.g., Detective, Transit, Housing, etc.) will ensure that executive staff from their respective borough attend a briefing with Internal Affairs Bureau, Community Affairs Bureau, Quality Assurance Section, and Personnel Orders Division upon assignment to command and semi-annually thereafter.","Ch. 303",note critical_detail
"**Ch. 304** — 304 computer use policy","This procedure is from A.G. Section 325 (Department Property) but is included here with General Regulations due to its conduct/policy nature.","Ch. 304",note critical_detail
"**P.G. 320-03** — 320 03","These purged reports are to be filed and safeguarded until an Operations Order for destruction is received.","P.G. 320-03",note critical_detail
"**P.G. 320-04** — 320 04","COMMANDING","P.G. 320-04",note critical_detail
"**P.G. 320-04** — 320 04","## DIRECTOR, BUDGET UNIT","P.G. 320-04",note critical_detail
"**Ch. 320** — 320 personnel general","Requests to exchange tours will not be unreasonably denied when there is no interruption in the delivery of police service.","Ch. 320",note critical_detail
"**Ch. 320** — 320 personnel general","A separate notification must be made for each visit.","Ch. 320",note critical_detail
"**Ch. 320** — 320 personnel general","These purged reports are to be filed and safeguarded until an Operations Order for destruction is received.","Ch. 320",note critical_detail
"**P.G. 331-08** — 331 08","COMMANDING","P.G. 331-08",note critical_detail
"**P.G. 331-11** — 331 11","CITY","P.G. 331-11",note critical_detail
"**Ch. 331** — 331 evaluations","The first sixteen months of a probationary police officer's field assignment is a critical phase in the training and maturation of a new police officer. Supervisors must conscientiously evaluate probationary police officers to ensure that members who are unable to satisfactorily perform their duties are identified. In addition to evaluation reports, commanding officers will submit the following reports during the probationary period as they occur, on Typed Letterhead:","Ch. 331",note critical_detail
"**Ch. 331** — 331 evaluations","When recommending ""Termination of Services"" or ""Extension of Probation"" a detailed report to Commanding Officer, Performance Analysis Unit, including all pertinent facts related to the probationary police officer's performance, will be forwarded with a copy of the PERFORMANCE EVALUATION. If warranted, these recommendations may also be forwarded at any time during the probationary period, prior to the twenty-second month anniversary.","Ch. 331",note critical_detail
"**Ch. 331** — 331 evaluations","The first fifteen months of an investigative assignment is a critical phase in the training and development of a new investigator. Supervisors must conscientiously evaluate police officers/investigators to ensure that members who are not suited for investigative work are not retained in such assignments. If there is a change in performance after the fifteenth month, the member's supervisor MUST immediately submit an interim evaluation.","Ch. 331",note critical_detail
"**Ch. 331** — 331 evaluations","When an investigator is designated ""Chronic Absent - Category B,"" it is presumed that the investigator is performing in a substandard manner. If the performance of the ""Category B"" investigator is rated higher than ""Low"", the rater must demonstrate how the performance was achieved in spite of the absence record of the investigator. In all cases, the rater must state if the ratee should remain in the investigative assignment. If ratee is a detective, determine if ratee should retain such designation or have such designation revoked and be reassigned.","Ch. 331",note critical_detail
"**Ch. 331** — 331 evaluations","Raters must conscientiously evaluate probationary sergeants and lieutenants to ensure that members who are unable to satisfactorily perform their duties are identified. Interim evaluations are to be submitted when necessary (e.g., change in the ratee's performance, etc.).","Ch. 331",note critical_detail
"**Ch. 331** — 331 evaluations","All newly promoted captains are on probation for a period of twelve months unless cause exists to extend such period for an additional six months. Extension of probation beyond twelve months may be authorized on a case-by-case basis. Interim performance evaluations are to be submitted when necessary. Raters must conscientiously evaluate probationary captains to ensure that members who are unable to satisfactorily perform their duties are identified. Those members in the rank of captain who are on probation, yet are serving in the capacity of commanding officer, may be rated using the Online Evaluation System on the Department Intranet. The bureau chief concerned will make the determination of which evaluation instrument is best suited to the ratee.","Ch. 331",note critical_detail
"**Ch. 331** — 331 evaluations","This evaluation instrument is based on a Management By Objectives (MBO) system. This system is flexible, allowing changes to be made to each Key Result Area as circumstances dictate. This allows raters and ratees to better address actual problems and priorities as they arise.","Ch. 331",note critical_detail
"**P.G. 332-01** — 332 01","sex stereotyping, which occurs when someone s conauci or personalit traits are judged based on other people's ideas or perceptions about hor","P.G. 332-01",note critical_detail
"**P.G. 332-01** — 332 01","REASONABLE ACCOMMODATION -Any modification or reasonable adjustment provided by the employer that assists employees and qualified applicants to perform the essential functions of their jobs and enjoy the benefits and privileges of employment. The accommodation cannot create an undue hardship for the Department.","P.G. 332-01",note critical_detail
"**P.G. 332-01** — 332 01","MEMBER","P.G. 332-01",note critical_detail
"**P.G. 332-01** — 332 01","OFFICE OF","P.G. 332-01",note critical_detail
"**P.G. 332-01** — 332 01","Trained EEO Liaisons have been designated throughout the Department to provide assistance to  complainants, witnesses and others regarding any EEO matter.  For further information about the EEO Liaison Program, contact the Program Coordinator at .","P.G. 332-01",note critical_detail
"**P.G. 332-05** — 332 05","(continued)","P.G. 332-05",note critical_detail
"**P.G. 332-09** — 332 09","1. Must submit to a hair analysis drug screening test when notified to report for drug screening.","P.G. 332-09",note critical_detail
"**P.G. 332-09** — 332 09","## POST-PROMOTION PROCEDURES","P.G. 332-09",note critical_detail
"**P.G. 332-14** — 332 14","NOTE","P.G. 332-14",note critical_detail
"**P.G. 332-15** — 332 15","REVIEWING","P.G. 332-15",note critical_detail
"**P.G. 332-15** — 332 15","## CHAIR, PERSONNEL GRIEVANCE BOARD","P.G. 332-15",note critical_detail
"**P.G. 332-17** — 332 17","- (3) Do NOT check either 'No Pay' or 'Full Pay' box","P.G. 332-17",note critical_detail
"**P.G. 332-18** — 332 18","TAKE NOTICE that you have failed to achieve the minimum passing score in your most recent attemp","P.G. 332-18",note critical_detail
"**P.G. 332-19** — 332 19","L.A.B./","P.G. 332-19",note critical_detail
"**P.G. 332-21** — 332 21","DIVISION/","P.G. 332-21",note critical_detail