Front,Back,Category,Tags
"**304 — 304 PERSONAL APPEARANCE**","Know the distinction between the head covering and facial hair accommodation processes. Both use the same form and apply to the same groups, but the ID update mechanisms differ — head coverings go through the Shield/ID Unit for a new ID card, while facial hair goes into RAPNET.","General Regulations",sergeant_focus
"**304 — 304 PROHIBITED CONDUCT**","Supervisors must be vigilant about prohibited conduct, particularly unauthorized relationships with subordinates, CIs, witnesses, victims, and youth. The political restrictions and Community Board rules are frequently tested areas.","General Regulations",sergeant_focus
"**305 — 305 EMBLEMS INSIGNIA BREAST BARS**","Know the complete breast bar hierarchy from top (US Flag) to bottom (Firearms Proficiency). Verify members wear bars in correct order during inspections. Watch for unauthorized cloth flags or fraternal pins — only the American Flag breast bar is authorized at the top position. (A.G. 305-13)","Uniforms and Equipment",sergeant_focus
"**305 — 305 FIREARMS REGULATIONS**","Verify holster compliance (retention device, trigger guard coverage, no clip-on/belly band). Ensure members have passed qualification before carrying modified firearms. Know the Family Court/Supreme Court unarmed requirement.","Uniforms and Equipment",sergeant_focus
"**305 — 305 LOST DAMAGED UNIFORM**","If member is incapacitated, the supervisory officer must sign and submit the report within 30 days. Verify that damaged article is presented unrepaired and that the member was performing police duty (or extraordinary police action for civilian clothing).","Uniforms and Equipment",sergeant_focus
"**305 — 305 MOURNING BANDS**","Ensure members of the command wear mourning bands during the correct time periods. For LOD deaths, verify compliance through the 10th day after death for command members. Know that the flag period and mourning band period have different reference dates (funeral vs death). (A.G. 305-14)","Uniforms and Equipment",sergeant_focus
"**305 — 305 PROTECTIVE VESTS**","As a supervisor, inspect vests when serviceability concerns are raised. Know the approval chain for not wearing: Bureau Chief/Deputy Commissioner for uniform, Immediate Supervisor for civilian enforcement. Direct members to the Patrol Borough for reserve supply regardless of their assigned bureau. Ensure members who are shot while wearing a vest — even if apparently uninjured — visit a doctor. (A.G. 305-15)","Uniforms and Equipment",sergeant_focus
"**305 — 305 REQUIRED EQUIPMENT**","As a supervisor, ensure compliance with unauthorized adornment prohibitions during roll call and throughout the tour. Verify belt equipment order at annual pistol qualification. Confirm civilian clothes members carry the Color of the Day band. (A.G. 305-08)","Uniforms and Equipment",sergeant_focus
"**318 — 318 INTERROGATION MOS**","Know the 8 items the interrogating officer must inform the member about. No ""off the record"" questions, threats, or reward promises. Interrogation must be recorded. Post-charge interrogation must be completed 10 days before trial. Assign member to 2nd Platoon.","Disciplinary Matters",sergeant_focus
"**318 — 318 REMOVAL FIREARMS INTOXICATED**","The first supervisor on scene must (1) direct member to remain, (2) prepare PD469-150 immediately, (3) notify CO/XO/duty captain. Supervisory officer is mandated to contact Counseling Services Unit. IAB Command Center must be notified for log number.","Disciplinary Matters",sergeant_focus
"**319 — 319 CIVILIAN INJURY**","Know the 5 forms required: WCS-110 (Employee Statement), WCS-100 (Supervisor Report of Injury), WCS-120 (Witness Statement), DP2002 (Employee Option), and Time Usage 49. Chief of Personnel grants leave with pay for first week.","Civilian Personnel",sergeant_focus
"**320 — 320 03**","As a supervisor, you are responsible for ensuring personal folders are properly maintained, documents are filed correctly, and purge schedules are followed. When members transfer out, verify the sealed confidential envelope and photocopy of Force Record are provided. Check NYS driver's license on assignment.","Personnel Matters — General",sergeant_focus
"**320 — 320 04**","While sergeants are not typically the primary grant administrators, you may serve as programmatic or fiscal contacts. Know the key rules: grant funds cannot supplant existing funding, overtime-in-time does not expend grant funds, equipment bidding takes 12-18 months, and HUD grants go through Housing Bureau. Timely reporting and compliance are your direct responsibility as a command contact.","Personnel Matters — General",sergeant_focus
"**329 — 329 RETIREMENT**","Know the property return matrix. Tier 2 mandatory retirement age is 63; Tier 3 is 62. Members on terminal leave are only available for emergencies. No leaves after terminal leave starts.","Career Development",sergeant_focus
"**330 — 330 INFECTIOUS DISEASE EXPOSURE**","Coordinate documentation of all involved MOS names when numerous individuals are exposed. Ensure exposure report number obtained via LOD Injury Reporting System. If actual injury → comply with A.G. 330-03. Know the bleach ratio and needle handling rules for roll call training.","Medical, Health and Wellness",sergeant_focus
"**330 — 330 LINE OF DUTY INJURY**","Sign off LOD Injury Report electronically before end of tour. Include BWC/video review findings. If member dies or likely to die, ensure firearms and Department property are safeguarded. Comply with P.G. 221-06 if any force was used. FECA indicator required on LOD report.","Medical, Health and Wellness",sergeant_focus
"**330 — 330 TRAUMA COUNSELING**","Ensure involved members are available for Trauma Team interview. Verify members have been contacted in person. Prepare UOR listing contacted members. Captain or above can request Trauma Team response to any incident.","Medical, Health and Wellness",sergeant_focus
"**331 — 331 02**","The first sixteen months of a probationary police officer's field assignment is a critical phase. You must conscientiously evaluate probationary officers and use the SUPERVISOR FEEDBACK FORM, command discipline, and charges to document below-standards performance. Don't wait for scheduled evaluation periods if problems arise — submit interim evaluations immediately.","Evaluations",sergeant_focus
"**331 — 331 03**","The first fifteen months of an investigative assignment is a critical phase. If there is a change in performance after the fifteenth month, you MUST immediately submit an interim evaluation. For ""Chronic Absent - Category B"" investigators, you bear the burden of justifying any rating above ""Low"" and must explicitly state whether the ratee should remain in the investigative assignment.","Evaluations",sergeant_focus
"**331 — 331 03**","As a commanding officer, you are directly responsible for auditing investigative time, ensuring the 8th and 15th month evaluations are prepared and forwarded, and guaranteeing all PERFORMANCE EVALUATIONS are finalized. Failure to complete evaluations on time is a common accountability issue on the exam.","Evaluations",sergeant_focus
"**331 — 331 04**","You are responsible for monitoring and documenting subordinates' performance throughout the rating period — the PERF System does not relieve you of this continuous responsibility. Ensure quarterly evaluations are completed before starting annual evaluations, and be aware of the January 31st finalization deadline.","Evaluations",sergeant_focus
"**331 — 331 05**","Raters must conscientiously evaluate probationary sergeants and lieutenants to ensure members unable to satisfactorily perform their duties are identified. Interim evaluations must be submitted when necessary (e.g., change in the ratee's performance). Do not wait for scheduled evaluation periods if performance issues arise.","Evaluations",sergeant_focus
"**331 — 331 05**","As a rater, you are responsible for applying the military service evaluation rules correctly. Key details: (1) average of 3 prior evaluations, (2) floor is the higher of satisfactory (3.0) or the last pre-absence rating, (3) mandatory notation in Rater's Comments citing NYS Military Law and duration of military duty. Direct questions to Performance Analysis Unit or Legal Bureau.","Evaluations",sergeant_focus
"**331 — 331 06**","While this procedure covers captains and above, know the MBO system (5 KRAs) and the 4th/10th/16th month probation timeline. Also know the military service formula (average of 3 prior, floor of 3.0 or last rating) — it applies across all evaluation procedures.","Evaluations",sergeant_focus
"**331 — 331 08**","As a rater, you must inform the civilian ratee of the tasks and standards at the beginning of the evaluation period — not mid-period or after the fact. Failure to do so can invalidate the evaluation on appeal.","Evaluations",sergeant_focus
"**331 — 331 08**","As a reviewer (typically a sergeant or lieutenant), you must examine and sign the evaluation form, forward a copy to the commanding officer, and ensure the remaining copy is filed in the ratee's personal folder at the command. Do not skip the filing step — it is part of the official record.","Evaluations",sergeant_focus
"**331 — 331 08**","As a supervisor of civilian personnel, you are responsible for initiating and maintaining the supervisory conference and warning documentation that supports below-standards ratings. Without proper documentation, the rating may be overturned on appeal. File CIVILIAN RECORD OF SUPERVISORY CONFERENCES and CIVILIAN LATENESS/WARNING NOTIFICATIONS promptly as issues arise — do not wait until the evaluation period ends.","Evaluations",sergeant_focus
"**331 — 331 10**","Know the routing distinction — members below captain route appeals to the Personnel Officer concerned, while captains and above route to the Personnel Officer, Chief of Personnel.","Evaluations",sergeant_focus
"**331 — 331 10**","As a sergeant, you may serve as a rater whose evaluation is being appealed. Ensure evaluations are based solely on performance factors and are factually accurate to withstand appeal scrutiny.","Evaluations",sergeant_focus
"**331 — 331 11**","As a rater, your evaluation of civilian members can be appealed. Ensure your evaluations are fact-based and free from bias. Know the four valid grounds for appeal — if a civilian member claims one of these, the appeal process must be followed. The 30-day timeline for scheduling the interview and for the review board to resolve the appeal are hard deadlines.","Evaluations",sergeant_focus
"**332 — 332 03**","As a supervisor, if a member comes to you about a transgender or gender non-conforming transition, your role is to treat the matter with sensitivity and confidentiality, facilitate the meeting with the CO or OEEO, and ensure the member's preferred name and pronouns are respected. Do NOT disclose the member's status to others without their consent — the member decides when, with whom, and how much to share.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 05**","If a member reports sick on a testing day, they must visit a Department surgeon — a regular doctor's note is not sufficient. Only a Department surgeon can approve excusal from the test. Members on court or training must report for testing immediately after completion.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 05**","As a supervisor, know the full chain of consequences for positive drug tests: Charges and Specifications plus suspension. If a member refuses to submit to random drug screening, they must be suspended and the refusal is grounds for dismissal. Members on sick report, regular days off, military leave, annual vacation, terminal leave, or bereavement leave are excused — all other members MUST report.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 07**","If a member refuses drug screening for a specialized unit assignment, the member's permanent command suspends them and follows A.G. 318-06. Refusal equals suspension and grounds for dismissal — this is consistent across all drug screening procedures.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 07**","Passing a drug screening test for a specialized unit assignment does NOT exempt a member from random drug screening. Members who pass are still subject to the Department's random drug screening program under A.G. 332-05 or A.G. 332-08, depending on their assignment.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 08**","Under A.G. 332-08, excusal for individual days off requires approval from the bureau chief/deputy commissioner (not just bureau chief as in A.G. 332-05). This is because IAB reports to a Deputy Commissioner, so the approval authority includes both bureau chief and deputy commissioner.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 08**","Key comparison of the three drug screening procedures:","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 09**","A candidate for civil service promotion can withdraw with no penalty at any time before they receive notification to report for drug screening. Once notified to report, withdrawal is no longer an option. The written request goes to the commanding officer, who forwards two copies to the Chief of Personnel.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 09**","As a supervisor, understand the full chain of consequences for positive drug tests: Charges and Specifications plus suspension. Know that the member has 60 days to request independent testing at their own expense, through the Department Advocate's Office.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 10**","Note that for discretionary promotions, the restoration is to the member's ""prior title"" (not ""prior civil service title"" as in A.G. 332-09). This is because discretionary promotions involve ranks that may not be civil service positions.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 10**","The key differences between A.G. 332-09 (civil service) and A.G. 332-10 (discretionary) drug screening:","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 11**","As a supervisor, if a member approaches you about voluntary drug testing, be aware of the 24-hour time limit and that the request goes to the Chief of Personnel. The member is entitled to consult with an attorney or union rep before making the request. The screening covers both hair and urine — not just one type.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 11**","Even if a member passes voluntary drug testing, they remain subject to the Department's random drug screening program. Voluntary testing does not create any exemption from future random screening.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 11**","The Medical Division performs the voluntary drug screening only after the Chief of Personnel has verified the allegation and the 24-hour time requirement. The screening itself covers both hair and urine — this is mandatory for voluntary testing, unlike other procedures where only one type may be collected.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 12**","As a supervisor, you are responsible for ensuring members scheduled for screening actually report. Know the three valid exceptions (sick, bereavement, terminal leave). Members on court must report after court or be rescheduled — court is not an excuse to skip testing. Monitor members returning from the Counseling Services Unit Program to ensure they complete the required screening.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 13**","As a supervisor, ensure probationary officers under your command are scheduled for end of probation medical exams within the six-month window. If a probationary officer reports sick on the testing date, they must visit a Department surgeon and obtain approval for excusal. Be aware that the same-sex observer requirement applies to both urine and hair collection for chain of custody purposes. Understanding the distinction between this procedure and random drug screening (A.G. 332-11) is critical — probationary officers are subject to both.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 14**","As a supervisor, if a member reports retaliation, you must understand the distinction: misconduct/corruption retaliation is investigated by IAB; EEO-related retaliation is investigated by OEEO. Direct the member accordingly.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 14**","Know the available resources for members experiencing retaliation or related stress. As a supervisor, you should be prepared to direct members to the Employee Assistance Unit, Chaplains Unit, or POPPA. This is both a leadership and exam topic.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 15**","At every step of the grievance procedure, the grievant and the commanding officer considering the grievance shall work for a satisfactory adjustment. The supervisor shall have the right to summon any persons considered necessary for an equitable adjustment. Proceedings will be informal.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 15**","Know the Personnel Grievance Board composition: C.O. Office of Labor Relations (Chair), Chief of Department or designee, Chief of Personnel or designee, plus the grievant's union presidents or designee. The Board must convene at least once per month.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 15**","As a sergeant, you may be the commanding officer at Step I. You must respond within 5 days, consider the grievance objectively, and work toward a satisfactory adjustment informally. Remember: grievances do not include disciplinary matters. The grievant has the right to an employee representative. Failing to follow lawful orders is never justified by the grievance process.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 16**","As a commanding officer, you must endorse all official trip requests with a clear APPROVAL or DISAPPROVAL. If approved, ensure all required documents are forwarded through the proper chain of command without delay.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 16**","Ensure members under your command submit their expense reports within the ten-day deadline. The Director, Audits and Accounts Unit will initiate measures to ensure compliance if reports are not submitted in a timely manner.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 16**","Know the full approval chain for official trips: Member prepares request and forms, Commanding Officer endorses, Highest Ranking Member concerned forwards to First Deputy Commissioner, First Deputy Commissioner recommends to Police Commissioner, Office of Police Commissioner forwards to Mayor. Track timelines carefully -- twenty business days domestic, thirty days international.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 17**","As a supervisor, you must verify and sign the monthly Labor Management Joint Activity Report, ensure no overtime/comp/meal is granted for release time, and forward reports to the Office of Labor Relations by the 10th of each month. Members who fail to submit proper reports may face de-certification and loss of pay.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 18**","If a member under your supervision fails to qualify, you must ensure the ACIU is notified immediately and the PD124-141 score sheet is faxed. Monitor the 90-day timeline closely — if the member does not qualify, charges must be prepared. Know that Section 75 hearings can result in removal from the Department.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 19**","The integrity control officer must redact identifying information before the member views the file. This protects witness and complainant identities while still allowing the member to review their own records. Ensure this step is completed before any review takes place.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 19**","The commanding officer has a dual role: if the preliminary investigation shows the entry is appropriate, the CO informs the member; if the appeal is verified, the CO endorses it through channels. Know both outcomes and the corresponding actions.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 19**","As a supervisor, you should be aware that members have the right to review their CPI file annually. If a member raises concerns about entries in their file, guide them through the proper appeal process — written appeal on Typed Letterhead to the commanding officer. Do not attempt to resolve CPI disputes informally.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 20**","As a supervisor, you are responsible for monitoring whether your subordinates have reached their FLSA rolling cap. Once the cap is hit, all further overtime must be paid in cash — you cannot continue accruing comp time beyond the cap.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 20**","You must enforce overtime authorization requirements. Failure to do so can result in unpaid overtime claims against the Department and disciplinary action against the supervisor who authorized or permitted the unauthorized overtime.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 20**","These four considerations are direct supervisory responsibilities. Pay special attention to item (b) — employees may not work during meal periods without written authorization. If you allow it without authorization, you may be creating an unpaid overtime liability. Item (c) makes record keeping ""absolutely mandatory"" — the language is intentionally strong.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 20**","You must ensure that each covered employee under your command records their starting and finishing times. Failure to maintain accurate time records creates liability for unpaid overtime claims and is a direct supervisory failure.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 21**","As a supervisor, you must grant preliminary approval of a breast milk accommodation request pending OEEO's final written determination. Do not deny or delay the request — preliminary approval must be granted while awaiting OEEO's review.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 21**","As a supervisor, you must grant preliminary approval for prayer accommodation requests pending OEEO determination. You must also confer with the requesting member about the length, time, and location of prayer, and inform them of any designated prayer space.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 21**","As a supervisor, you have specific responsibilities in the reasonable accommodation process: (1) notify the commanding officer, (2) grant preliminary approval pending OEEO determination, (3) confer with the requesting member, (4) confer with operations coordinator if needed, and (5) assist with locating appropriate space. Failure to grant preliminary approval or retaliating against a requesting member carries disciplinary consequences.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 22**","Executive members (captain and above) who wish to participate must be approved by the Chief of Personnel prior to participation. Ensure members in your command understand all eligibility requirements before they apply.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 22**","As a supervisor, you may be asked to confer with the commanding officer regarding a member's eligibility. Be prepared to provide input on the member's duty status, attendance record, and any monitoring or Chronic Sick designation.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 22**","Sergeants should be aware of Paid Detail assignments within their command. Monitoring Paid Detail activities against roll call and overtime records helps identify potential conflicts, fatigue issues, or policy violations. The command overtime self-inspection program is a key supervisory tool.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 22**","As a patrol supervisor, you may be called to the scene of a Paid Detail arrest. You must determine whether the Paid Detail member will process the arrest or if on-duty personnel will handle it. Paid Detail members generally do not process arrests unless directed by an on-duty NYPD supervisor.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 22**","As a supervisor (CO, XO, or ICO), you are responsible for signing the white copy of the Paid Detail Card. Verify that entries are accurate before signing.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 22**","Under no circumstances may members switch a Paid Detail assignment or perform a Paid Detail assignment scheduled by another member. A Paid Detail assignment must be performed by the member who scheduled the assignment. Failure to comply with this directive will result in immediate and indefinite suspension from the Paid Detail Program.","Employee Rights & Responsibilities",sergeant_focus
"**332 — 332 22**","As a supervisor, be vigilant about monitoring Paid Detail compliance. Key areas to check: (1) members working within prohibited time windows, (2) failure to make Activity Log entries, (3) failure to sign Paid Detail Cards properly, (4) members exceeding hour limits, and (5) improper cancellations.","Employee Rights & Responsibilities",sergeant_focus